"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"POU4F1","POU4F1",-0.799857892714353,2.78457984850149,-3.82427633849521,0.000148017832370242,0.0191912416321727,0.783437199829191
"FAM171A2","FAM171A2",-0.549544080738847,5.8495659680009,-3.81527373406695,0.00015335754592503,0.0197445159302498,0.752266609629408
"LRRFIP1","LRRFIP1",0.179354978161827,11.4862208577686,3.81192993035908,0.000155386782156555,0.0197591100379712,0.740706594766357
"FGL2","FGL2",0.4293649738224,9.41432076405518,3.81155261597246,0.000155617345907654,0.0197591100379712,0.739402761511339
"CPSF1","CPSF1",-0.248789991201707,10.9103166768624,-3.80913866612202,0.000157100087486113,0.0198107514431975,0.731064075165092
"HPDL","HPDL",-0.57276085409344,4.50418517129143,-3.80486058154601,0.000159760668272206,0.0199019666843591,0.716298152854255
"GIMAP4","GIMAP4",0.321534572124526,9.10001840919293,3.80450232156198,0.000159985392932765,0.0199019666843591,0.71506231595269
"HAUS8","HAUS8",-0.209289811482031,7.10729973166478,-3.79966424910389,0.000163049526285506,0.0201470122714259,0.698383828617857
"ARHGAP25","ARHGAP25",0.296003904623534,8.46811332126121,3.79519463132434,0.00016592944921371,0.0203661805964907,0.682993241665109
"MUS81","MUS81",-0.16095951488425,9.23105939277094,-3.79313113121364,0.000167275165871962,0.0203953846282695,0.67589356963665
"MEX3D","MEX3D",-0.25000302805333,8.97941970462136,-3.78120221941239,0.000175258697445751,0.0212282097281166,0.63492208892344
"REPIN1","REPIN1",-0.18451274753157,11.0002492747508,-3.77664083627681,0.00017840538067309,0.0213624570863683,0.619287442604446
"PPP1R14B","PPP1R14B",-0.265145766880043,10.8755750263194,-3.77623537441508,0.000178687653647315,0.0213624570863683,0.617898535418173
"TBXAS1","TBXAS1",0.327920728527697,8.82398649540347,3.77367476319522,0.000180480043698532,0.0214375360292495,0.609130414267912
"LCP1","LCP1",0.370081509663483,11.796559100921,3.77033140498445,0.000182845876231473,0.0214670140442341,0.597690402074792
"METTL7B","METTL7B",0.587135564090653,7.76501336445854,3.76955667672925,0.000183398248805255,0.0214670140442341,0.595040864517388
"CHPT1","CHPT1",0.334981697665811,9.22573257233488,3.7668250056196,0.000185358481259006,0.0214670140442341,0.58570274995638
"HIST1H2BJ","HIST1H2BJ",-0.525763845090047,4.62460471453687,-3.7666145002026,0.000185510355798218,0.0214670140442341,0.584983409227608
"EVI2B","EVI2B",0.368342566796054,9.09407409427666,3.76516660816722,0.000186558158007574,0.0214670140442341,0.580036685387711
"TRIM22","TRIM22",0.347327536161784,10.4085106132379,3.76009707865118,0.000190270985839691,0.0217582554055563,0.562730726461358
"CDKL1","CDKL1",0.41918305452411,4.55332739047334,3.75698025449836,0.000192588152028699,0.0218872868333356,0.55210164227783
"PRSS12","PRSS12",0.746121788961017,6.38742800508596,3.75330645881642,0.000195353544970081,0.022036244047163,0.539583800968045
"CD83","CD83",0.332566561571732,8.9210895423151,3.75085584917395,0.00019721896684199,0.022036244047163,0.531240164583849
"TROAP","TROAP",-0.51749263798264,7.43896129234256,-3.75050218749155,0.00019748955883884,0.022036244047163,0.530036469279894
"LINC01140","LINC01140",0.374232554249118,5.44118874528159,3.74822471807448,0.000199240485100396,0.022083379260043,0.52228760947711
"GTF2IRD1","GTF2IRD1",-0.204527244105506,9.2778632561202,-3.74654385417899,0.000200542110718468,0.022083379260043,0.516571479460875
"RTN1","RTN1",0.46126452334923,6.58448566665655,3.74395831370091,0.000202559952197805,0.022083379260043,0.507783515671228
"MBNL1","MBNL1",0.199481310124935,11.7828383978276,3.7430067635866,0.000203307377823591,0.022083379260043,0.504550739716901
"FLT3","FLT3",0.460900201501467,3.7742646860221,3.74083923388239,0.000205019646729287,0.022083379260043,0.497189707102537
"DMAP1","DMAP1",-0.193081503180976,9.09944179025043,-3.739471497649,0.000206107090337749,0.022083379260043,0.492546875130321
"CX3CR1","CX3CR1",0.557115803853537,5.96063775152343,3.73921923088344,0.000206308252280018,0.022083379260043,0.491690720624481
"F8","F8",0.288792439375324,8.25240775992999,3.72442131121208,0.000218437413837942,0.0221456984705996,0.441563982400953
"TUBB2C","TUBB2C",-0.212934593589418,12.656722977518,-3.72286991001158,0.000219747207215835,0.0221456984705996,0.43631957413108
"HLA-DMB","HLA-DMB",0.404599008329606,10.9247266602708,3.72229361571221,0.000220235633409583,0.0221456984705996,0.434371973675545
"CCR7","CCR7",0.477483337307329,6.85721997103317,3.72144466915459,0.000220957002878964,0.0221456984705996,0.431503455422896
"DMPK","DMPK",-0.297590871472318,8.95014277752813,-3.72090679833334,0.000221415194908707,0.0221456984705996,0.429686354422014
"TIMD4","TIMD4",0.515609601165699,2.90125245645032,3.72021216469406,0.000222008251228611,0.0221456984705996,0.427340023987695
"RASSF5","RASSF5",0.276191714490818,9.81611884948298,3.72009325985364,0.000222109918249495,0.0221456984705996,0.426938429086305
"COBRA1","COBRA1",-0.151445636305648,10.5438616047774,-3.72008754766102,0.000222114803440124,0.0221456984705996,0.426919136757663
"BRSK1","BRSK1",-0.510214633641225,5.65220741373545,-3.71983434131477,0.000222331452652646,0.0221456984705996,0.426063987025576
"CALCOCO2","CALCOCO2",0.145939303456402,11.0649805894687,3.71956011818756,0.000222566308742621,0.0221456984705996,0.425137919472193
"FAH","FAH",0.252180794246965,9.01493654706222,3.71934129517831,0.000222753885424896,0.0221456984705996,0.424398987472637
"ADH1B","ADH1B",0.940691966623218,8.42161009392376,3.71913684608017,0.000222929275187233,0.0221456984705996,0.423708630970209
"ZNF883","ZNF883",-0.533297290878952,4.62639737783767,-3.71841040879681,0.00022355351283287,0.0221456984705996,0.42125598327218
"HIST2H2AC","HIST2H2AC",-0.370007809533278,3.04374976021177,-3.71820493930794,0.000223730373990089,0.0221456984705996,0.420562344843737
"CBS","CBS",-0.537393988260687,8.72763333682485,-3.71351830217339,0.000227800425348854,0.0223430099417895,0.404750664481435
"PKHD1","PKHD1",0.750446139627755,4.12822112109285,3.71140399423775,0.000229659296277267,0.0223430099417895,0.397623602972073
"P2RY13","P2RY13",0.438800660261276,6.70837713088504,3.70909054716329,0.000231709603664724,0.0223430099417895,0.389829648695909
"ZNF786","ZNF786",-0.179904386375208,7.46767393321434,-3.70823148751853,0.000232475328379618,0.0223430099417895,0.386936660311375
"SIGLEC10","SIGLEC10",0.440301005424787,7.63234259669112,3.70779052207612,0.000232869308430289,0.0223430099417895,0.385451900418411
"STIP1","STIP1",-0.170441542502527,11.8475837803903,-3.70629032049729,0.000234214373022435,0.0223430099417895,0.380401867583437
